id,sexo,edad,nivel,region,zona,tipo_establecimiento,rendimiento_promedio,rendimiento_matematicas,rendimiento_lenguaje,repitencia,trabaja,horas_trabajo_semana,particip_extraescolar,acceso_internet_hogar,nivel_ses,estructura_familiar,tiempo_traslado_min,apoyo_psicopedagogico,ema_i01,ema_i02,ema_i03,ema_i04,ema_i05,ema_i06,ema_i07,ema_i08,ema_i09,ema_i10,ema_i11,ema_i12,ema_i13,ema_i14,ema_i15,ema_i16,ema_i17,ema_i18,ema_intrinseca,ema_extrinseca,ema_desmotivacion,ema_total,eaa_i01,eaa_i02,eaa_i03,eaa_i04,eaa_i05,eaa_i06,eaa_i07,eaa_i08,eaa_i09,eaa_i10,eaa_i11,eaa_i12,eaa_i13,eaa_i14,eaa_tareas,eaa_social,eaa_total,ece_i01,ece_i02,ece_i03,ece_i04,ece_i05,ece_i06,ece_i07,ece_i08,ece_i09,ece_i10,ece_i11,ece_i12,ece_i13,ece_i14,ece_i15,ece_i16,ece_docente,ece_pares,ece_institucional,ece_total,iesa_i01,iesa_i02,iesa_i03,iesa_i04,iesa_i05,iesa_i06,iesa_i07,iesa_i08,iesa_i09,iesa_i10,iesa_i11,iesa_i12,iesa_evaluativo,iesa_carga,iesa_total
EDU-011,Mujer,18,1° Medio,RM,Urbano,Part. Subvencionado,6.5,NA,6.6,No,No,0,No,Sí,Bajo,Biparental,83,No,4,3,4,3,4,3,3,3,3,3,2,2,2,2,2,1,3,1,3.5,2.6666666666666665,1.8333333333333333,2.6666666666666665,3,3,2,3,3,2,4,2,3,3,4,2,2,3,2.857142857142857,2.7142857142857144,2.7857142857142856,3,3,2,2,2,3,2,2,1,3,1,2,2,2,3,1,2.5,1.8,2,2.125,1,1,1,1,1,1,1,2,1,1,3,1,1,1.5,1.25
EDU-012,Hombre,14,3° Medio,RM,Rural,Part. Subvencionado,6.6,5.9,6.8,No,No,0,Sí,Sí,Bajo,Biparental,21,No,2,2,2,2,2,2,3,3,2,3,2,3,3,2,3,3,2,3,2,2.6666666666666665,2.6666666666666665,2.4444444444444446,2,3,4,3,3,3,4,4,3,3,2,3,2,2,3.142857142857143,2.7142857142857144,2.9285714285714284,2,4,3,3,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3.6,3.1875,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3
EDU-013,Mujer,15,1° Medio,Biobío,Urbano,Part. Subvencionado,7,7,7,No,No,0,No,Sí,Bajo,Otra,5,No,4,4,4,4,4,4,2,2,2,4,4,2,1,1,1,1,2,2,4,2.6666666666666665,1.3333333333333333,2.6666666666666665,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3.857142857142857,4,3.9285714285714284,4,4,4,4,3,3,4,4,4,4,2,3,4,3,3,4,3.6666666666666665,3.6,3.4,3.5625,1,2,1,1,1,1,2,1,1,1,1,1,1.1666666666666667,1.1666666666666667,1.1666666666666667
EDU-014,Hombre,20,1° Medio,RM,Urbano,Municipal,6,5.7,5.2,No,No,0,No,Sí,Bajo,Biparental,46,No,3,4,2,4,2,2,2,3,2,3,1,2,2,2,3,3,2,2,2.8333333333333335,2.1666666666666665,2.3333333333333335,2.4444444444444446,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3.4285714285714284,3.2857142857142856,3.357142857142857,3,2,3,3,4,3,3,3,2,4,2,4,3,3,2,2,3,2.8,2.8,2.875,3,3,3,3,3,2,3,2,2,3,2,2,2.8333333333333335,2.3333333333333335,2.5833333333333335
EDU-015,Mujer,17,2° Medio,RM,Rural,Part. Subvencionado,5.6,5.9,5.7,No,No,0,No,Sí,Bajo,Biparental,7,No,1,4,2,3,2,2,3,3,2,2,2,3,1,1,2,1,3,1,2.3333333333333335,2.5,1.5,2.111111111111111,2,3,2,2,2,2,1,3,3,3,3,2,1,4,2,2.7142857142857144,2.357142857142857,3,4,3,3,3,4,2,3,1,1,3,4,3,2,2,2,3.3333333333333335,2,2.6,2.6875,1,1,2,3,2,2,2,2,3,2,2,1,1.8333333333333333,2,1.9166666666666667
EDU-016,Mujer,18,2° Medio,RM,Urbano,Part. Subvencionado,4.2,3.7,4,No,No,0,No,Sí,Bajo,Biparental,5,No,2,1,2,1,2,2,2,3,2,1,1,1,3,4,3,4,4,2,1.6666666666666667,1.6666666666666667,3.3333333333333335,2.2222222222222223,4,3,4,3,3,4,3,3,3,3,4,3,3,2,3.4285714285714284,3,3.2142857142857144,2,2,1,2,2,1,2,2,1,2,3,3,2,2,3,2,1.6666666666666667,2,2.4,2,1,1,1,1,1,1,3,2,2,1,3,2,1,2.1666666666666665,1.5833333333333333
EDU-017,Hombre,15,1° Medio,Valparaíso,Urbano,Municipal,6,5.3,5.1,No,Sí,4,No,Sí,Bajo,Monoparental,42,No,1,2,3,1,2,1,4,4,3,3,4,1,2,2,3,4,3,3,1.6666666666666667,3.1666666666666665,2.8333333333333335,2.5555555555555554,3,3,4,3,3,3,4,3,3,3,3,1,3,3,3.2857142857142856,2.7142857142857144,3,2,3,1,1,2,1,2,1,2,1,1,2,1,2,2,1,1.6666666666666667,1.4,1.6,1.5625,2,2,1,3,2,2,2,3,2,3,3,2,2,2.5,2.25
EDU-018,Mujer,16,2° Medio,RM,Urbano,Part. Subvencionado,7,6.2,7,Sí,No,0,Sí,No,Bajo,Biparental,12,No,3,3,3,3,2,2,3,1,2,2,1,4,1,3,3,1,2,2,2.6666666666666665,2.1666666666666665,2,2.2777777777777777,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,2,3,3,3,4,4,4,4,4,3.3333333333333335,2.8,4,3.375,1,2,3,2,1,1,1,1,1,1,2,2,1.6666666666666667,1.3333333333333333,1.5
EDU-019,Hombre,15,2° Medio,Valparaíso,Urbano,Part. Pagado,6.8,6.4,NA,No,No,0,No,Sí,Alto,Extendida,101,No,2,2,2,3,3,1,4,4,3,4,4,2,2,3,3,2,3,1,2.1666666666666665,3.5,2.3333333333333335,2.6666666666666665,2,4,4,3,3,2,3,2,3,4,3,4,3,3,3,3.142857142857143,3.0714285714285716,4,3,4,3,3,3,2,2,2,3,2,3,4,3,2,3,3.3333333333333335,2.2,3,2.875,1,1,2,1,2,3,2,2,2,2,1,2,1.6666666666666667,1.8333333333333333,1.75
EDU-020,Hombre,16,2° Medio,Valparaíso,Urbano,Part. Subvencionado,4.6,2.8,4.2,No,No,0,No,Sí,Alto,Biparental,20,No,3,3,2,3,2,3,3,3,3,2,3,2,3,1,3,3,1,2,2.6666666666666665,2.6666666666666665,2.1666666666666665,2.5,3,4,2,4,3,3,2,3,4,4,4,2,3,3,3,3.2857142857142856,3.142857142857143,2,2,2,2,2,2,3,4,2,2,3,3,3,3,3,4,2,2.8,3.2,2.625,2,1,3,2,2,2,3,2,3,2,2,3,2,2.5,2.25
EDU-021,Hombre,17,1° Medio,Otra,Urbano,Part. Subvencionado,6.3,6.7,6.5,No,No,0,No,Sí,Medio,Extendida,10,No,4,3,4,4,2,4,2,1,3,2,4,2,2,1,1,1,1,1,3.5,2.3333333333333335,1.1666666666666667,2.3333333333333335,2,3,2,3,2,2,2,2,3,2,2,2,4,1,2.2857142857142856,2.2857142857142856,2.2857142857142856,3,1,2,3,2,3,2,3,3,2,1,3,2,2,2,3,2.3333333333333335,2.2,2.4,2.3125,2,1,2,2,3,2,2,2,2,1,1,1,2,1.5,1.75
EDU-022,Hombre,16,4° Medio,Biobío,Urbano,Municipal,3.8,4.2,2.9,No,Sí,28,No,Sí,Bajo,Biparental,12,Sí,3,3,3,3,3,3,2,1,2,2,2,2,2,3,2,3,2,3,3,1.8333333333333333,2.5,2.4444444444444446,3,2,2,2,3,3,2,2,3,2,2,2,3,4,2.4285714285714284,2.5714285714285716,2.5,3,3,3,4,4,2,1,1,2,2,2,4,3,4,4,3,3.1666666666666665,1.6,3.6,2.8125,3,2,2,4,3,3,3,2,2,1,2,1,2.8333333333333335,1.8333333333333333,2.3333333333333335
EDU-023,Mujer,15,4° Medio,RM,Rural,Part. Pagado,6.2,5.4,6,No,Sí,15,Sí,No,Medio,Biparental,20,No,3,3,3,2,2,2,4,3,3,2,4,3,2,2,2,2,2,3,2.5,3.1666666666666665,2.1666666666666665,2.611111111111111,3,4,3,4,3,3,3,3,3,2,3,2,2,2,3.2857142857142856,2.4285714285714284,2.857142857142857,2,3,2,3,2,3,2,2,3,2,3,2,1,1,4,3,2.5,2.4,2.2,2.375,3,2,3,3,3,3,3,3,4,2,4,2,2.8333333333333335,3,2.9166666666666665
EDU-024,Hombre,18,4° Medio,RM,Rural,Part. Subvencionado,4.5,3.6,4.1,No,No,0,No,No,Medio,Monoparental,36,No,3,3,4,3,2,2,2,3,2,3,3,3,2,2,3,2,3,3,2.8333333333333335,2.6666666666666665,2.5,2.6666666666666665,3,3,2,2,4,3,3,2,4,3,3,3,2,3,2.857142857142857,2.857142857142857,2.857142857142857,3,2,2,3,2,2,3,1,2,4,2,3,4,3,4,4,2.3333333333333335,2.4,3.6,2.75,3,3,2,4,3,4,3,2,3,3,3,4,3.1666666666666665,3,3.0833333333333335
EDU-025,Mujer,19,2° Medio,Valparaíso,Urbano,Municipal,5.9,5.2,6.3,No,No,0,No,Sí,Medio,Otra,5,Sí,4,3,3,2,3,3,2,1,2,2,2,4,3,3,1,2,3,3,3,2.1666666666666665,2.5,2.5555555555555554,4,4,4,4,4,4,4,4,4,3,4,4,3,2,4,3.4285714285714284,3.7142857142857144,2,2,2,1,3,4,3,3,1,2,3,2,1,1,1,1,2.3333333333333335,2.4,1.2,2,1,1,1,2,1,3,1,1,2,1,2,2,1.5,1.5,1.5
EDU-026,Mujer,17,4° Medio,RM,Urbano,Municipal,6.3,6,6.1,No,No,0,No,Sí,Alto,Monoparental,35,Sí,4,3,4,3,4,4,3,3,2,1,2,2,1,1,1,1,2,1,3.6666666666666665,2.1666666666666665,1.1666666666666667,2.3333333333333335,2,2,2,3,2,1,2,4,4,4,3,4,4,4,2,3.857142857142857,2.9285714285714284,3,3,3,3,4,2,4,4,2,2,4,2,3,3,3,4,3,3.2,3,3.0625,1,2,3,2,1,2,2,1,3,1,2,4,1.8333333333333333,2.1666666666666665,2
EDU-027,Hombre,18,1° Medio,RM,Rural,Municipal,5.9,5.5,3.8,No,No,0,Sí,No,Bajo,Biparental,11,No,2,2,1,1,1,1,1,3,3,2,3,2,2,3,4,2,2,3,1.3333333333333333,2.3333333333333335,2.6666666666666665,2.111111111111111,2,3,2,3,3,2,3,2,2,2,2,2,1,4,2.5714285714285716,2.142857142857143,2.357142857142857,2,3,3,3,2,3,2,2,3,2,2,3,2,3,3,2,2.6666666666666665,2.2,2.6,2.5,3,3,3,4,2,4,3,2,3,3,3,3,3.1666666666666665,2.8333333333333335,3
EDU-028,Mujer,17,4° Medio,RM,Urbano,Municipal,7,7,7,No,Sí,10,Sí,Sí,Bajo,Biparental,5,Sí,4,3,4,3,3,2,4,2,3,2,3,4,2,1,1,2,2,1,3.1666666666666665,3,1.5,2.5555555555555554,4,4,3,3,3,3,3,3,3,3,3,4,3,2,3.2857142857142856,3,3.142857142857143,3,3,3,3,4,2,2,3,3,3,3,4,3,3,3,3,3,2.8,3.2,3,1,1,2,2,2,1,1,1,1,1,1,2,1.5,1.1666666666666667,1.3333333333333333
EDU-029,Hombre,18,1° Medio,RM,Urbano,Part. Pagado,5.6,4.3,4.9,Sí,No,NA,No,Sí,Bajo,Biparental,35,No,3,3,2,2,3,2,3,3,3,2,4,2,3,1,3,1,2,1,2.5,2.8333333333333335,1.8333333333333333,2.388888888888889,4,4,3,4,4,4,4,3,3,3,3,3,3,2,3.857142857142857,2.857142857142857,3.357142857142857,1,2,2,2,2,4,1,2,2,2,3,2,2,2,1,3,2.1666666666666665,2,2,2.0625,3,2,4,2,2,1,1,1,1,1,1,2,2.3333333333333335,1.1666666666666667,1.75
EDU-030,Hombre,17,1° Medio,Valparaíso,Urbano,Municipal,5.1,5.1,4.6,No,No,0,No,Sí,Alto,Biparental,9,No,3,3,2,2,2,3,4,4,4,3,3,3,2,1,3,3,3,2,2.5,3.5,2.3333333333333335,2.7777777777777777,3,4,3,4,2,3,3,3,2,3,2,3,2,3,3.142857142857143,2.5714285714285716,2.857142857142857,2,2,3,4,1,1,2,2,4,1,3,3,3,2,2,2,2.1666666666666665,2.4,2.4,2.3125,2,2,3,3,2,3,2,2,2,3,1,3,2.5,2.1666666666666665,2.3333333333333335
EDU-031,Hombre,15,4° Medio,RM,Urbano,Part. Pagado,5.5,5.9,5.9,Sí,No,0,Sí,Sí,Medio,Otra,72,No,2,4,3,3,3,4,3,3,2,1,3,2,3,2,2,1,2,2,3.1666666666666665,2.3333333333333335,2,2.5,3,3,2,3,4,3,2,3,2,3,3,4,3,1,2.857142857142857,2.7142857142857144,2.7857142857142856,3,2,3,4,3,3,3,4,3,4,3,3,4,4,4,4,3,3.4,3.8,3.375,1,2,3,2,2,2,1,1,2,2,2,1,2,1.5,1.75
EDU-032,Mujer,20,1° Medio,RM,Urbano,Part. Subvencionado,3,2.2,2.9,No,No,0,Sí,Sí,Medio,Biparental,8,No,3,2,3,3,2,3,1,1,1,1,1,1,3,4,3,4,4,2,2.6666666666666665,1,3.3333333333333335,2.3333333333333335,1,2,2,2,2,3,2,3,2,3,2,1,2,3,2,2.2857142857142856,2.142857142857143,4,3,2,3,3,2,3,4,2,3,3,2,3,2,3,2,2.8333333333333335,3,2.4,2.75,1,3,2,3,1,2,2,4,2,2,2,3,2,2.5,2.25
EDU-033,Mujer,15,3° Medio,RM,Urbano,Municipal,4.5,3.2,3.4,No,No,0,No,Sí,Medio,Biparental,16,Sí,2,3,2,2,2,2,4,3,3,4,3,4,4,3,2,2,4,4,2.1666666666666665,3.5,3.1666666666666665,2.9444444444444446,3,3,2,1,2,2,2,2,2,3,4,2,3,2,2.142857142857143,2.5714285714285716,2.357142857142857,3,3,2,1,2,3,3,3,2,3,3,2,2,2,2,1,2.3333333333333335,2.8,1.8,2.3125,2,3,3,4,3,3,1,3,2,2,1,3,3,2,2.5
EDU-034,Mujer,17,2° Medio,RM,Urbano,Part. Subvencionado,3.8,2.2,NA,No,No,0,Sí,Sí,Alto,Monoparental,5,No,2,2,1,2,2,3,4,2,2,3,1,3,3,3,3,1,3,2,2,2.5,2.5,2.3333333333333335,4,2,4,2,2,2,3,3,3,2,2,2,2,3,2.7142857142857144,2.4285714285714284,2.5714285714285716,3,4,3,3,3,4,2,2,3,3,2,2,2,3,2,3,3.3333333333333335,2.4,2.4,2.75,2,3,3,4,2,4,3,3,2,3,4,4,3,3.1666666666666665,3.0833333333333335
EDU-035,Hombre,15,4° Medio,RM,Urbano,Municipal,5.4,4.8,3.7,No,No,0,Sí,Sí,Medio,Biparental,21,No,1,1,2,1,2,1,2,3,4,1,4,2,2,1,2,3,3,4,1.3333333333333333,2.6666666666666665,2.5,2.1666666666666665,2,4,3,3,3,2,4,3,3,2,3,2,3,1,3,2.4285714285714284,2.7142857142857144,3,4,2,2,4,2,4,2,3,1,4,1,2,1,3,3,2.8333333333333335,2.8,2,2.5625,1,1,1,1,1,1,1,1,2,2,2,3,1,1.8333333333333333,1.4166666666666667
EDU-036,Mujer,16,2° Medio,Biobío,Urbano,Municipal,3.3,2.2,2.2,No,No,0,No,No,Bajo,Biparental,39,No,2,2,1,1,2,1,4,3,2,2,3,3,2,4,3,4,3,4,1.5,2.8333333333333335,3.3333333333333335,2.5555555555555554,3,3,3,2,3,3,2,2,2,2,2,2,3,2,2.7142857142857144,2.142857142857143,2.4285714285714284,1,1,2,2,2,3,3,2,3,2,1,3,3,1,1,2,1.8333333333333333,2.2,2,2,4,2,3,2,3,3,3,3,4,4,4,2,2.8333333333333335,3.3333333333333335,3.0833333333333335
EDU-037,Mujer,16,3° Medio,RM,Urbano,Part. Pagado,6.6,5.3,6.4,No,Sí,16,Sí,No,Bajo,Biparental,54,No,4,3,3,4,3,3,4,3,3,2,2,3,1,1,1,1,2,2,3.3333333333333335,2.8333333333333335,1.3333333333333333,2.5,2,2,3,3,3,3,3,4,4,3,3,3,4,4,2.7142857142857144,3.5714285714285716,3.142857142857143,3,3,3,3,3,3,2,3,2,4,4,3,3,4,4,4,3,3,3.6,3.1875,2,3,3,2,2,3,3,4,3,4,4,2,2.5,3.3333333333333335,2.9166666666666665
EDU-038,Hombre,19,3° Medio,RM,Urbano,Part. Pagado,5.9,6.5,6.2,No,No,0,No,Sí,Medio,Biparental,39,Sí,3,3,3,4,3,2,2,2,2,2,3,2,1,3,2,1,2,3,3,2.1666666666666665,2,2.388888888888889,2,3,2,2,3,2,2,3,2,3,2,3,2,3,2.2857142857142856,2.5714285714285716,2.4285714285714284,3,2,2,2,1,2,2,3,2,2,3,2,1,3,2,2,2,2.4,2,2.125,3,3,4,2,3,3,2,2,2,2,4,2,3,2.3333333333333335,2.6666666666666665
EDU-039,Hombre,16,2° Medio,RM,Urbano,Municipal,5.1,5.3,4.9,No,No,0,Sí,No,Bajo,Biparental,5,No,2,2,3,2,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2.3333333333333335,2.5,2,2.2777777777777777,3,2,2,4,2,3,3,2,4,2,3,3,2,3,2.7142857142857144,2.7142857142857144,2.7142857142857144,2,2,2,2,2,3,2,3,1,2,1,2,2,2,3,4,2.1666666666666665,1.8,2.6,2.1875,3,3,3,2,2,2,3,4,4,3,3,3,2.5,3.3333333333333335,2.9166666666666665
EDU-040,Hombre,14,3° Medio,RM,Urbano,Part. Pagado,4,3.2,3.9,No,Sí,18,No,No,Medio,Monoparental,51,No,2,1,1,1,3,3,2,3,4,3,3,4,3,3,2,3,1,3,1.8333333333333333,3.1666666666666665,2.5,2.5,2,1,2,2,2,2,2,2,3,4,3,3,3,2,1.8571428571428572,2.857142857142857,2.357142857142857,3,2,3,3,3,2,3,2,2,2,2,3,2,2,3,2,2.6666666666666665,2.2,2.4,2.4375,1,2,2,2,4,2,4,3,3,2,2,2,2.1666666666666665,2.6666666666666665,2.4166666666666665
EDU-041,Hombre,17,4° Medio,Otra,Urbano,Part. Subvencionado,5.2,5.3,4.9,Sí,No,0,No,No,Bajo,Monoparental,39,Sí,3,3,2,4,3,3,3,2,1,2,2,1,2,2,2,1,1,1,3,1.8333333333333333,1.5,2.111111111111111,2,4,3,2,2,4,2,2,2,3,3,3,2,3,2.7142857142857144,2.5714285714285716,2.642857142857143,1,3,1,1,2,2,3,2,3,3,2,3,2,2,2,2,1.6666666666666667,2.6,2.2,2.125,3,2,2,4,3,2,3,2,4,1,2,2,2.6666666666666665,2.3333333333333335,2.5
EDU-042,Hombre,14,1° Medio,Biobío,Urbano,Part. Subvencionado,6.1,4.4,5.8,No,No,0,No,Sí,Bajo,Monoparental,77,Sí,2,2,3,3,3,2,2,2,2,2,2,3,2,2,2,2,1,1,2.5,2.1666666666666665,1.6666666666666667,2.111111111111111,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.4285714285714284,3.2857142857142856,3.357142857142857,3,3,2,3,3,3,3,1,3,3,4,2,2,3,1,2,2.8333333333333335,2.8,2,2.5625,3,1,2,3,1,2,3,2,2,1,2,2,2,2,2
EDU-043,Mujer,15,4° Medio,RM,Urbano,Municipal,6.9,6.7,5.8,No,Sí,22,Sí,Sí,Alto,Biparental,5,Sí,3,3,3,3,3,2,2,2,2,2,2,3,1,2,3,1,3,3,2.8333333333333335,2.1666666666666665,2.1666666666666665,2.388888888888889,4,4,4,4,4,4,3,2,4,4,4,4,3,4,3.857142857142857,3.5714285714285716,3.7142857142857144,3,3,3,4,3,4,3,3,4,3,2,1,1,2,2,2,3.3333333333333335,3,1.6,2.6875,1,2,2,3,3,2,2,2,2,2,2,2,2.1666666666666665,2,2.0833333333333335
EDU-044,Mujer,18,1° Medio,RM,Rural,Part. Subvencionado,6.3,3.5,4.8,No,Sí,NA,No,Sí,Medio,Biparental,7,No,2,2,2,3,1,2,2,2,2,3,2,2,2,2,1,1,2,2,2,2.1666666666666665,1.6666666666666667,1.9444444444444444,2,3,2,3,2,3,2,2,2,2,3,2,3,1,2.4285714285714284,2.142857142857143,2.2857142857142856,3,3,3,3,3,3,2,2,2,1,1,2,2,4,3,2,3,1.6,2.6,2.4375,2,3,2,4,3,2,4,4,2,3,3,4,2.6666666666666665,3.3333333333333335,3
