id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,area,nivel_cargo,modalidad_trabajo,antiguedad_anos,tipo_contrato,horas_semanales,ingreso_tramo,capacitacion_ultimo_ano,evaluacion_desempeno,beneficios_empresa,turno,ebl_i01,ebl_i02,ebl_i03,ebl_i04,ebl_i05,ebl_i06,ebl_i07,ebl_i08,ebl_i09,ebl_i10,ebl_i11,ebl_i12,ebl_i13,ebl_i14,ebl_i15,ebl_i16,ebl_i17,ebl_i18,ebl_agotamiento,ebl_cinismo,ebl_baja_eficacia,ebl_total,csl_i01,csl_i02,csl_i03,csl_i04,csl_i05,csl_i06,csl_i07,csl_i08,csl_i09,csl_i10,csl_i11,csl_i12,csl_i13,csl_i14,csl_i15,csl_i16,csl_tarea,csl_contexto,csl_total,elp_i01,elp_i02,elp_i03,elp_i04,elp_i05,elp_i06,elp_i07,elp_i08,elp_i09,elp_i10,elp_i11,elp_i12,elp_i13,elp_i14,elp_transformacional,elp_transaccional,elp_total,eir_i01,eir_i02,eir_i03,eir_i04,eir_i05,eir_i06,eir_i07,eir_i08,eir_i09,eir_i10,eir_intencion_salida,eir_busqueda_alternativas,eir_total
LAB-011,Mujer,28,Universitario,Soltero/a,3,RM,Comercial,Profesional,Presencial,1,Indefinido,50,Medio,Sí,3.4,Básicos,Diurno,3,2,1,1,1,2,1,3,1,3,3,3,1,1,1,2,1,2,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.7777777777777777,3,3,3,2,3,3,4,2,4,4,4,4,3,3,4,2,2.875,3.5,3.1875,4,3,4,4,4,4,4,4,3,4,2,3,2,2,3.857142857142857,2.857142857142857,3.357142857142857,2,1,1,2,1,3,2,3,2,3,1.4,2.6,2
LAB-012,Mujer,31,Técnico,Casado/a,2,Biobío,Comercial,Operativo,Híbrido,5,Honorarios,NA,Bajo,Sí,2.4,Completos,Rotativo,3,2,3,3,2,2,3,2,4,2,2,3,1,2,1,2,2,2,2.5,2.6666666666666665,1.6666666666666667,2.2777777777777777,3,4,3,4,3,3,3,3,3,3,4,3,4,3,3,4,3.25,3.375,3.3125,2,2,2,2,2,2,2,3,3,3,4,3,3,3,2,3.142857142857143,2.5714285714285716,4,4,4,3,2,3,2,3,2,3,3.4,2.6,3
LAB-013,Mujer,29,Técnico,Conviviente,2,Otra,Comercial,Operativo,Presencial,3,Plazo fijo,43,Bajo,Sí,1.7,Intermedios,Rotativo,3,4,3,3,2,3,3,2,3,1,2,1,1,3,3,2,3,2,3,2,2.3333333333333335,2.4444444444444446,3,3,2,2,2,4,2,2,3,3,1,3,3,3,3,3,2.5,2.75,2.625,3,2,3,2,1,2,4,2,1,1,2,1,1,2,2.4285714285714284,1.4285714285714286,1.9285714285714286,2,2,2,1,2,3,2,3,3,2,1.8,2.6,2.2
LAB-014,Mujer,29,Técnico,Separado/a,2,RM,Finanzas,Operativo,Presencial,5,Plazo fijo,33,Alto,No,2.5,Básicos,Diurno,1,1,1,1,1,2,1,3,2,2,3,1,3,2,4,2,3,2,1.1666666666666667,2,2.6666666666666665,1.9444444444444444,2,1,3,2,2,2,2,2,1,2,3,1,2,2,1,3,2,1.875,1.9375,3,3,2,2,3,3,3,1,1,1,2,1,1,1,2.7142857142857144,1.1428571428571428,1.9285714285714286,2,3,2,1,2,3,1,3,2,2,2,2.2,2.1
LAB-015,Mujer,48,Universitario,Casado/a,2,RM,TI,Operativo,Híbrido,19,Indefinido,45,Medio,Sí,4.7,Básicos,Diurno,2,1,1,1,1,3,3,1,1,1,2,1,1,1,1,2,2,1,1.5,1.5,1.3333333333333333,1.4444444444444444,4,3,3,2,3,2,3,3,3,4,4,4,4,4,4,4,2.875,3.875,3.375,4,4,4,4,4,4,4,1,2,3,3,2,2,3,4,2.2857142857142856,3.142857142857143,1,3,1,1,3,3,2,2,1,2,1.8,2,1.9
LAB-016,Mujer,42,Media,Casado/a,0,Valparaíso,Producción,Operativo,Presencial,1,Indefinido,38,Bajo,Sí,4.4,Intermedios,Rotativo,2,1,2,2,1,2,1,1,1,2,2,1,2,1,3,2,1,1,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.5555555555555556,3,4,2,2,2,2,2,2,3,3,3,2,4,3,2,2,2.375,2.75,2.5625,4,4,4,4,4,3,4,2,2,2,2,2,3,3,3.857142857142857,2.2857142857142856,3.0714285714285716,2,2,2,2,3,1,2,2,2,2,2.2,1.8,2
LAB-017,Otro,45,Universitario,Conviviente,2,Biobío,Comercial,Profesional,Remoto,13,Indefinido,47,Medio,No,3.5,Completos,Diurno,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.4444444444444444,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,4,2.625,2.5,2.5625,3,3,2,3,3,2,2,4,3,4,4,4,4,4,2.5714285714285716,3.857142857142857,3.2142857142857144,1,1,1,1,2,1,1,1,1,1,1.2,1,1.1
LAB-018,Hombre,43,Técnico,Separado/a,0,Otra,Operaciones,Profesional,Híbrido,4,Plazo fijo,48,Alto,Sí,3,Intermedios,Nocturno,2,1,2,1,1,1,2,2,2,2,3,3,3,1,3,2,2,2,1.3333333333333333,2.3333333333333335,2.1666666666666665,1.9444444444444444,2,3,2,2,2,2,3,1,2,3,2,3,4,3,3,2,2.125,2.75,2.4375,3,2,3,1,2,3,2,2,3,2,3,2,2,4,2.2857142857142856,2.5714285714285716,2.4285714285714284,1,3,1,1,2,2,2,1,2,2,1.6,1.8,1.7
LAB-019,Hombre,32,Técnico,Soltero/a,0,RM,Comercial,Profesional,Híbrido,0,Plazo fijo,59,Bajo,No,2,Intermedios,Rotativo,2,1,1,2,2,3,1,2,2,1,1,2,1,2,2,2,1,1,1.8333333333333333,1.5,1.5,1.6111111111111112,4,4,4,4,4,3,3,4,3,3,2,3,2,2,2,3,3.75,2.5,3.125,3,3,3,3,3,3,2,2,4,3,2,3,3,3,2.857142857142857,2.857142857142857,2.857142857142857,3,3,3,3,3,2,3,2,3,3,3,2.6,2.8
LAB-020,Hombre,47,Técnico,Soltero/a,0,Antofagasta,RRHH,Profesional,Presencial,9,Indefinido,60,Bajo,Sí,2.9,Completos,Diurno,4,2,3,3,3,3,4,2,1,2,2,4,3,3,3,3,2,2,3,2.5,2.6666666666666665,2.7222222222222223,2,2,3,3,3,3,3,2,3,2,3,4,2,1,3,2,2.625,2.5,2.5625,3,2,4,3,3,2,3,3,2,3,3,2,3,1,2.857142857142857,2.4285714285714284,2.642857142857143,2,3,2,2,3,2,2,3,3,3,2.4,2.6,2.5
LAB-021,Mujer,42,Media,Soltero/a,0,Otra,Operaciones,Profesional,Presencial,6,Plazo fijo,52,Medio,Sí,2.4,Básicos,Diurno,3,2,3,2,4,4,2,2,2,1,1,2,4,2,3,4,1,2,3,1.6666666666666667,2.6666666666666665,2.4444444444444446,3,4,3,4,3,3,4,2,3,3,4,3,4,4,3,3,3.25,3.375,3.3125,2,3,3,3,3,4,3,1,1,3,3,3,2,2,3,2.142857142857143,2.5714285714285716,2,3,3,3,1,2,3,3,2,2,2.4,2.4,2.4
LAB-022,Hombre,32,Técnico,Separado/a,1,Antofagasta,Finanzas,Jefatura,Presencial,12,Indefinido,50,Medio,No,NA,Completos,Rotativo,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1.1666666666666667,1.1666666666666667,1.5,1.2777777777777777,4,3,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3.75,3.625,3.6875,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3.2857142857142856,3.7142857142857144,3.5,1,1,1,1,3,3,1,1,2,2,1.4,1.8,1.6
LAB-023,Hombre,23,Media,Separado/a,0,RM,Producción,Operativo,Remoto,16,Plazo fijo,59,Alto,Sí,3.7,Intermedios,Nocturno,1,2,1,1,2,2,1,2,3,2,3,2,2,2,1,3,1,3,1.5,2.1666666666666665,2,1.8888888888888888,2,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3.125,3.25,3.1875,2,3,3,4,2,2,3,4,4,3,3,4,3,4,2.7142857142857144,3.5714285714285716,3.142857142857143,2,3,3,1,2,1,1,3,2,1,2.2,1.6,1.9
LAB-024,Hombre,46,Técnico,Otro,3,Biobío,Comercial,Operativo,Remoto,2,Honorarios,32,Alto,Sí,4.4,Completos,Diurno,3,2,3,1,2,1,3,2,3,2,2,1,3,2,1,2,2,1,2,2.1666666666666665,1.8333333333333333,2,3,3,3,2,4,3,3,3,3,4,4,3,3,3,4,2,3,3.25,3.125,2,2,3,2,2,2,3,3,3,3,2,1,3,3,2.2857142857142856,2.5714285714285716,2.4285714285714284,3,2,2,2,2,3,2,3,4,3,2.2,3,2.6
LAB-025,Hombre,22,Universitario,Conviviente,3,Antofagasta,RRHH,Operativo,Presencial,1,Indefinido,49,Medio,Sí,3.7,Básicos,Diurno,1,2,2,3,1,2,1,2,3,2,2,3,2,2,3,1,2,1,1.8333333333333333,2.1666666666666665,1.8333333333333333,1.9444444444444444,4,3,4,4,4,3,4,4,4,2,4,4,3,3,4,2,3.75,3.25,3.5,3,3,2,2,3,2,2,3,4,4,3,4,4,3,2.4285714285714284,3.5714285714285716,3,2,2,1,2,3,1,1,1,2,2,2,1.4,1.7
LAB-026,Hombre,30,Universitario,Conviviente,0,RM,TI,Jefatura,Remoto,8,Plazo fijo,26,Medio,Sí,4.5,Intermedios,Diurno,1,1,1,2,1,3,2,3,2,3,2,3,2,2,3,2,1,2,1.5,2.5,2,2,3,3,2,3,4,4,3,3,3,3,2,2,3,3,4,4,3.125,3,3.0625,3,2,2,1,1,2,3,2,4,3,4,3,4,4,2,3.4285714285714284,2.7142857142857144,3,3,3,2,2,4,4,2,3,4,2.6,3.4,3
LAB-027,Hombre,28,Universitario,Casado/a,3,RM,TI,Profesional,Híbrido,5,Indefinido,56,Medio,Sí,2.8,Básicos,Diurno,1,3,2,2,2,3,1,2,2,2,2,2,1,1,1,2,1,1,2.1666666666666665,1.8333333333333333,1.1666666666666667,1.7222222222222223,4,4,4,4,3,2,3,4,4,3,3,4,3,3,3,4,3.5,3.375,3.4375,2,3,3,1,2,2,3,3,4,3,3,4,3,3,2.2857142857142856,3.2857142857142856,2.7857142857142856,2,2,2,2,2,2,1,1,2,2,2,1.6,1.8
LAB-028,Hombre,35,Técnico,Soltero/a,2,RM,Comercial,Operativo,Presencial,6,Plazo fijo,43,Bajo,No,3.2,Intermedios,Diurno,2,2,3,2,2,1,1,2,3,1,3,3,2,3,2,2,1,3,2,2.1666666666666665,2.1666666666666665,2.111111111111111,2,2,4,2,3,2,2,3,2,2,3,2,2,3,2,2,2.5,2.25,2.375,2,2,1,1,1,2,1,2,2,2,3,3,2,2,1.4285714285714286,2.2857142857142856,1.8571428571428572,3,3,2,3,3,1,3,2,2,3,2.8,2.2,2.5
LAB-029,Hombre,32,Universitario,Soltero/a,0,Antofagasta,Finanzas,Jefatura,Híbrido,2,Indefinido,52,Bajo,Sí,3.9,Completos,Diurno,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1.6666666666666667,1.3333333333333333,1.5,1.5,3,3,4,3,4,4,4,3,3,4,3,3,3,4,2,4,3.5,3.25,3.375,3,3,2,3,3,3,2,2,1,2,1,2,3,2,2.7142857142857144,1.8571428571428572,2.2857142857142856,1,3,2,2,3,3,3,3,3,3,2.2,3,2.6
LAB-030,Hombre,33,Técnico,Separado/a,4,RM,Finanzas,Gerencia,Híbrido,1,Indefinido,53,Alto,Sí,3.8,Básicos,Rotativo,2,1,2,1,1,4,2,2,1,2,2,2,3,3,2,2,2,1,1.8333333333333333,1.8333333333333333,2.1666666666666665,1.9444444444444444,3,4,3,3,4,4,3,4,2,2,2,2,3,3,3,4,3.5,2.625,3.0625,2,3,3,2,2,3,4,2,3,3,2,2,3,3,2.7142857142857144,2.5714285714285716,2.642857142857143,1,1,1,1,4,2,1,3,1,2,1.6,1.8,1.7
LAB-031,Mujer,39,Técnico,Conviviente,0,Valparaíso,RRHH,Jefatura,Híbrido,1,Plazo fijo,47,Bajo,Sí,1.6,Intermedios,Diurno,4,2,4,4,4,3,4,3,3,3,2,2,3,4,4,3,4,4,3.5,2.8333333333333335,3.6666666666666665,3.3333333333333335,2,2,2,2,1,3,2,2,2,2,2,3,2,1,2,3,2,2.125,2.0625,2,2,2,2,2,3,3,2,2,2,1,1,3,1,2.2857142857142856,1.7142857142857142,2,3,2,3,2,2,2,3,3,3,4,2.4,3,2.7
LAB-032,Hombre,29,Universitario,Casado/a,1,RM,Operaciones,Operativo,Híbrido,3,Indefinido,45,Alto,Sí,2.9,Intermedios,Diurno,1,2,1,3,3,2,2,2,2,2,3,3,2,3,1,1,1,2,2,2.3333333333333335,1.6666666666666667,2,2,2,3,2,2,2,2,1,2,2,2,3,2,2,1,3,2,2.125,2.0625,3,2,4,3,4,2,3,4,4,3,3,3,4,3,3,3.4285714285714284,3.2142857142857144,3,1,4,2,2,2,3,1,2,2,2.4,2,2.2
LAB-033,Mujer,38,Universitario,Casado/a,1,RM,Operaciones,Operativo,Presencial,16,Indefinido,52,Bajo,No,2.8,Completos,Diurno,1,3,2,2,3,2,2,1,2,2,1,1,1,1,1,1,2,2,2.1666666666666665,1.5,1.3333333333333333,1.6666666666666667,3,2,3,3,2,4,3,3,3,3,2,3,2,3,3,1,2.875,2.5,2.6875,4,3,4,3,3,2,3,3,2,2,2,2,3,2,3.142857142857143,2.2857142857142856,2.7142857142857144,1,2,1,1,3,1,1,3,2,1,1.6,1.6,1.6
LAB-034,Hombre,25,Universitario,Conviviente,1,Otra,TI,Jefatura,Híbrido,5,Honorarios,52,Alto,No,3.7,Intermedios,Diurno,3,2,2,2,2,1,1,4,3,2,1,2,2,4,2,2,1,3,2,2.1666666666666665,2.3333333333333335,2.1666666666666665,3,3,3,2,3,1,2,2,3,4,3,3,4,2,3,4,2.375,3.25,2.8125,3,2,1,2,3,1,1,2,2,4,3,4,3,4,1.8571428571428572,3.142857142857143,2.5,1,1,1,1,2,2,2,3,1,3,1.2,2.2,1.7
LAB-035,Hombre,26,Técnico,Conviviente,1,RM,Finanzas,Profesional,Presencial,1,Plazo fijo,35,Medio,Sí,3.8,Intermedios,Diurno,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,3,2,2,1,1.3333333333333333,2.3333333333333335,1.5555555555555556,3,4,3,2,3,2,3,2,4,3,4,3,4,3,3,4,2.75,3.5,3.125,4,3,3,4,4,4,4,3,3,4,4,2,3,3,3.7142857142857144,3.142857142857143,3.4285714285714284,1,3,1,3,3,3,2,2,3,2,2.2,2.4,2.3
LAB-036,Mujer,41,Universitario,Separado/a,1,Antofagasta,Operaciones,Profesional,Remoto,2,Indefinido,37,Medio,No,3.8,Intermedios,Diurno,3,2,1,2,2,1,2,3,2,2,3,2,3,2,1,2,1,2,1.8333333333333333,2.3333333333333335,1.8333333333333333,2,2,4,2,4,3,3,3,4,2,3,3,4,2,3,3,2,3.125,2.75,2.9375,2,2,3,3,3,3,3,2,2,2,2,3,2,2,2.7142857142857144,2.142857142857143,2.4285714285714284,1,2,1,1,2,1,2,2,3,3,1.4,2.2,1.8
LAB-037,Mujer,32,Postgrado,Separado/a,2,RM,Finanzas,Operativo,Presencial,10,Indefinido,44,Bajo,Sí,3.5,Básicos,Diurno,2,2,2,2,3,2,2,1,3,2,3,4,3,2,2,3,2,3,2.1666666666666665,2.5,2.5,2.388888888888889,2,3,4,3,3,2,3,2,3,3,4,3,2,3,2,2,2.75,2.75,2.75,3,3,3,3,2,2,2,2,3,3,3,4,2,3,2.5714285714285716,2.857142857142857,2.7142857142857144,3,4,3,3,3,2,3,4,3,3,3.2,3,3.1
LAB-038,Hombre,29,Técnico,Separado/a,4,RM,TI,Jefatura,Presencial,1,Plazo fijo,42,Medio,Sí,3.4,Básicos,Rotativo,2,2,3,3,3,4,3,4,3,3,3,2,2,3,2,1,3,3,2.8333333333333335,3,2.3333333333333335,2.7222222222222223,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2.25,2.625,2.4375,2,4,4,3,3,3,2,2,2,3,3,2,2,2,3,2.2857142857142856,2.642857142857143,1,1,2,1,3,1,2,2,2,4,1.6,2.2,1.9
LAB-039,Hombre,40,Técnico,Separado/a,1,RM,TI,Operativo,Presencial,0,Indefinido,52,Medio,Sí,3.8,Intermedios,Diurno,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1.6666666666666667,1.2222222222222223,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3.375,3.875,3.625,3,3,3,3,2,3,2,4,4,4,4,4,4,4,2.7142857142857144,4,3.357142857142857,1,2,1,1,2,1,1,2,1,1,1.4,1.2,1.3
LAB-040,Hombre,37,Técnico,Separado/a,0,Antofagasta,Producción,Operativo,Híbrido,3,Indefinido,42,Medio,No,4.4,Básicos,Diurno,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1.5,1.3333333333333333,1.3333333333333333,1.3888888888888888,4,3,1,3,2,3,2,2,2,3,3,3,3,3,2,4,2.5,2.875,2.6875,3,2,2,3,2,1,2,1,2,2,2,2,2,1,2.142857142857143,1.7142857142857142,1.9285714285714286,1,2,4,2,2,1,1,3,1,1,2.2,1.4,1.8
LAB-041,Hombre,24,Universitario,Soltero/a,4,RM,Operaciones,Jefatura,Híbrido,3,Plazo fijo,47,Bajo,Sí,3.5,Básicos,Diurno,3,3,2,3,2,3,2,2,3,1,2,3,3,2,3,3,2,2,2.6666666666666665,2.1666666666666665,2.5,2.4444444444444446,2,2,2,4,2,2,3,4,2,3,2,3,3,2,3,2,2.625,2.5,2.5625,3,4,2,3,3,3,3,3,3,2,2,3,3,3,3,2.7142857142857144,2.857142857142857,2,3,2,3,2,3,3,1,2,3,2.4,2.4,2.4
LAB-042,Mujer,26,Técnico,Soltero/a,2,RM,RRHH,Operativo,Presencial,1,Plazo fijo,42,Bajo,Sí,3,Intermedios,Diurno,2,2,2,2,2,1,4,2,3,2,1,1,1,3,2,1,2,2,1.8333333333333333,2.1666666666666665,1.8333333333333333,1.9444444444444444,2,3,4,2,2,2,1,3,3,2,3,2,3,4,4,2,2.375,2.875,2.625,3,3,3,3,2,2,3,4,1,2,2,4,3,3,2.7142857142857144,2.7142857142857144,2.7142857142857144,2,2,2,3,2,2,2,1,2,1,2.2,1.6,1.9
LAB-043,Mujer,22,Técnico,Soltero/a,0,RM,Comercial,Gerencia,Presencial,3,Plazo fijo,44,NA,Sí,2.1,Básicos,Diurno,2,3,3,3,3,3,2,2,4,1,3,1,1,2,1,1,1,2,2.8333333333333335,2.1666666666666665,1.3333333333333333,2.111111111111111,3,4,3,3,3,4,4,3,2,2,3,2,4,3,3,3,3.375,2.75,3.0625,2,2,3,1,3,1,2,1,2,2,2,2,2,2,2,1.8571428571428572,1.9285714285714286,3,3,2,3,2,2,2,2,2,1,2.6,1.8,2.2
LAB-044,Mujer,33,Técnico,Separado/a,4,RM,Comercial,Profesional,Presencial,8,Honorarios,41,Bajo,No,4,Intermedios,Diurno,2,1,2,1,1,2,2,2,1,1,2,3,2,2,2,3,2,4,1.5,1.8333333333333333,2.5,1.9444444444444444,3,3,3,3,2,2,4,1,3,2,3,2,3,2,3,2,2.625,2.5,2.5625,3,4,4,4,4,4,4,4,3,4,3,4,3,4,3.857142857142857,3.5714285714285716,3.7142857142857144,1,1,2,1,2,1,1,1,1,1,1.4,1,1.2
LAB-045,Mujer,22,Universitario,Soltero/a,2,RM,Producción,Operativo,Híbrido,5,Indefinido,45,Alto,Sí,3.4,Básicos,Diurno,2,2,2,1,3,1,2,2,2,3,2,3,1,1,1,1,1,1,1.8333333333333333,2.3333333333333335,1,1.7222222222222223,3,4,2,3,2,3,3,2,2,2,2,2,3,4,4,2,2.75,2.625,2.6875,3,2,2,2,2,3,3,2,4,3,2,3,2,4,2.4285714285714284,2.857142857142857,2.642857142857143,2,2,3,2,3,3,2,2,2,1,2.4,2,2.2
LAB-046,Hombre,22,Técnico,Separado/a,0,Antofagasta,Finanzas,Operativo,Híbrido,NA,Plazo fijo,39,Medio,No,2.2,Intermedios,Rotativo,3,3,2,3,4,4,4,3,4,4,2,3,3,4,2,3,2,3,3.1666666666666665,3.3333333333333335,2.8333333333333335,3.111111111111111,3,2,2,2,3,2,2,3,1,1,2,2,2,2,1,4,2.375,1.875,2.125,2,1,2,2,1,2,2,1,3,3,2,3,3,2,1.7142857142857142,2.4285714285714284,2.0714285714285716,3,2,3,3,2,2,2,2,2,3,2.6,2.2,2.4
LAB-047,Hombre,33,Postgrado,Casado/a,3,Valparaíso,TI,Operativo,Híbrido,14,Plazo fijo,56,Bajo,Sí,3,Completos,Diurno,2,2,1,1,1,2,1,2,2,1,3,2,1,1,2,1,3,2,1.5,1.8333333333333333,1.6666666666666667,1.6666666666666667,3,3,3,2,2,3,3,2,3,4,4,4,4,4,3,4,2.625,3.75,3.1875,2,4,3,2,2,3,2,3,4,4,3,3,4,2,2.5714285714285716,3.2857142857142856,2.9285714285714284,2,1,1,1,2,2,1,1,1,1,1.4,1.2,1.3
