id,sexo,edad,region_origen,primera_generacion_universitaria,carrera,ano_carrera,promedio_acumulado,creditos_semestre,trabaja,horas_trabajo_semana,tipo_beca,vive_con_familia,distancia_universidad,uso_apoyo_psicologico,satisfaccion_carrera,horas_estudio_semana,actividades_extracurriculares,ere_i01,ere_i02,ere_i03,ere_i04,ere_i05,ere_i06,ere_i07,ere_i08,ere_i09,ere_i10,ere_i11,ere_i12,ere_i13,ere_i14,ere_i15,ere_i16,ere_reevaluacion,ere_supresion,ere_total,eag_i01,eag_i02,eag_i03,eag_i04,eag_i05,eag_i06,eag_i07,eag_i08,eag_i09,eag_i10,eag_i11,eag_i12,eag_i13,eag_i14,eag_conductual,eag_cognitiva,eag_total,epa_i01,epa_i02,epa_i03,epa_i04,epa_i05,epa_i06,epa_i07,epa_i08,epa_i09,epa_i10,epa_i11,epa_i12,epa_postergacion_tareas,epa_postergacion_decisiones,epa_total,cbu_i01,cbu_i02,cbu_i03,cbu_i04,cbu_i05,cbu_i06,cbu_i07,cbu_i08,cbu_i09,cbu_i10,cbu_i11,cbu_i12,cbu_i13,cbu_i14,cbu_i15,cbu_i16,cbu_i17,cbu_i18,cbu_emocional,cbu_vinculacion,cbu_satisfaccion_vital,cbu_total
INV-011,Mujer,19,Extranjero,No,Psicología,5°,5.6,60,No,0,Gratuidad,No,Local,No,4,7,No,3,3,4,1,3,3,3,2,3,3,2,2,3,3,3,3,2.75,2.75,2.75,3,2,1,2,2,2,2,2,4,3,3,3,3,4,2,3.142857142857143,2.5714285714285716,1,2,3,1,2,2,2,1,1,2,1,1,1.8333333333333333,1.3333333333333333,1.5833333333333333,1,2,2,3,2,1,2,3,4,2,4,3,3,3,4,4,3,3,1.8333333333333333,3,3.3333333333333335,2.7222222222222223
INV-012,Mujer,20,RM,No,Psicología,3°,4.2,43,No,0,Sin beca,No,Desplazado/a,No,2,10,No,2,2,2,1,2,1,3,1,3,3,3,3,3,3,2,4,1.75,3,2.375,2,3,2,3,2,3,3,4,3,3,4,2,3,2,2.5714285714285716,3,2.7857142857142856,1,3,3,3,4,3,4,4,3,4,3,4,2.8333333333333335,3.6666666666666665,3.25,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2.1666666666666665,1.8333333333333333,2.1666666666666665,2.0555555555555554
INV-013,Hombre,25,Región centro,No,Educación,4°,4.8,48,No,0,Gratuidad,Sí,Local,Sí,1,NA,Sí,1,2,3,2,2,2,2,3,3,3,2,2,3,3,4,1,2.125,2.625,2.375,3,1,3,2,4,2,3,2,2,2,3,3,2,4,2.5714285714285716,2.5714285714285716,2.5714285714285716,2,3,2,2,3,3,1,1,2,1,2,2,2.5,1.5,2,3,3,3,4,2,3,3,2,3,2,4,2,4,4,2,4,3,3,3,2.6666666666666665,3.3333333333333335,3
INV-014,Hombre,17,Región centro,Sí,Enfermería,5°,4.1,39,No,0,Beca excelencia,Sí,Local,No,NA,2,No,3,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1.625,2,1.8125,2,2,2,3,3,3,2,2,3,3,2,2,3,2,2.4285714285714284,2.4285714285714284,2.4285714285714284,2,2,2,2,2,2,3,3,3,2,2,3,2,2.6666666666666665,2.3333333333333335,2,2,4,2,3,3,1,2,3,2,1,1,3,2,3,4,3,1,2.6666666666666665,1.6666666666666667,2.6666666666666665,2.3333333333333335
INV-015,Hombre,17,RM,No,Otra,4°,6.4,39,No,0,Otra beca,Sí,Local,Sí,3,28,Sí,4,2,3,3,3,3,3,2,3,3,2,2,2,2,4,4,2.875,2.75,2.8125,3,3,4,4,3,3,3,2,4,3,3,4,4,2,3.2857142857142856,3.142857142857143,3.2142857142857144,2,2,2,3,2,2,1,3,2,3,4,2,2.1666666666666665,2.5,2.3333333333333335,3,3,4,4,4,4,3,3,4,3,2,2,3,4,3,4,3,4,3.6666666666666665,2.8333333333333335,3.5,3.3333333333333335
INV-016,Otro,20,Región centro,Sí,Trabajo Social,2°,5.2,38,Sí,11,Gratuidad,Sí,Desplazado/a,No,2,15,No,2,1,1,1,2,1,2,1,1,1,1,2,2,3,2,1,1.375,1.625,1.5,2,2,2,3,3,3,4,3,2,2,2,1,1,2,2.7142857142857144,1.8571428571428572,2.2857142857142856,3,2,3,1,4,3,3,2,2,2,3,2,2.6666666666666665,2.3333333333333335,2.5,2,2,2,1,2,2,2,2,3,1,3,3,4,4,3,3,4,1,1.8333333333333333,2.3333333333333335,3.1666666666666665,2.4444444444444446
INV-017,Mujer,18,Región centro,Sí,Psicología,1°,3.8,60,Sí,26,Gratuidad,No,Desplazado/a,No,4,24,No,3,3,4,3,3,2,2,2,3,3,3,1,3,3,2,3,2.75,2.625,2.6875,3,2,3,3,3,2,3,3,2,2,2,2,3,3,2.7142857142857144,2.4285714285714284,2.5714285714285716,3,1,1,2,2,2,1,1,2,1,1,1,1.8333333333333333,1.1666666666666667,1.5,3,2,2,3,2,2,4,4,4,3,4,3,4,3,3,3,3,2,2.3333333333333335,3.6666666666666665,3,3
INV-018,Mujer,22,RM,Sí,Trabajo Social,4°,5.8,46,No,0,Gratuidad,Sí,Desplazado/a,Sí,4,26,Sí,2,1,2,3,2,1,1,3,3,2,2,3,3,2,3,3,1.875,2.625,2.25,3,3,3,4,3,4,4,4,3,4,4,3,3,4,3.4285714285714284,3.5714285714285716,3.5,1,1,1,1,1,2,1,1,1,1,2,1,1.1666666666666667,1.1666666666666667,1.1666666666666667,3,4,4,4,4,3,2,3,2,3,2,2,2,3,3,3,2,3,3.6666666666666665,2.3333333333333335,2.6666666666666665,2.888888888888889
INV-019,Mujer,29,Región sur,No,Enfermería,4°,6.3,41,No,0,Sin beca,Sí,Local,No,4,16,Sí,4,3,3,3,2,3,3,3,2,4,3,4,4,2,3,1,3,2.875,2.9375,4,3,3,4,4,4,4,2,4,4,3,4,4,3,3.7142857142857144,3.4285714285714284,3.5714285714285716,1,3,1,2,2,2,2,1,2,2,1,1,1.8333333333333333,1.5,1.6666666666666667,3,2,3,2,4,3,1,3,3,3,3,3,3,4,2,2,3,3,2.8333333333333335,2.6666666666666665,2.8333333333333335,2.7777777777777777
INV-020,Mujer,19,RM,Sí,Enfermería,4°,6.8,39,No,0,Gratuidad,Sí,Local,No,5,19,No,3,3,3,2,2,2,3,3,1,2,2,3,1,1,2,2,2.625,1.75,2.1875,2,3,3,3,2,2,2,1,3,2,3,2,3,3,2.4285714285714284,2.4285714285714284,2.4285714285714284,3,1,1,1,2,3,2,1,2,2,3,2,1.8333333333333333,2,1.9166666666666667,4,4,4,4,4,4,3,4,4,4,4,2,4,4,3,4,3,3,4,3.5,3.5,3.6666666666666665
INV-021,Hombre,24,Región centro,Sí,Psicología,3°,4.1,46,Sí,26,Gratuidad,Sí,Local,No,3,10,Sí,2,2,2,2,1,3,2,2,1,1,2,1,1,3,3,2,2,1.75,1.875,3,3,3,2,3,2,3,4,2,1,2,3,2,2,2.7142857142857144,2.2857142857142856,2.5,2,1,1,2,1,2,3,2,2,3,1,1,1.5,2,1.75,3,2,2,4,2,2,2,2,3,2,2,4,2,2,1,3,3,2,2.5,2.5,2.1666666666666665,2.388888888888889
INV-022,Hombre,23,Extranjero,No,Enfermería,5°,5.5,35,No,0,Sin beca,No,Local,No,3,14,No,3,4,4,3,4,3,3,1,2,3,3,4,3,3,3,3,3.125,3,3.0625,4,3,4,3,4,4,2,3,2,3,3,3,3,4,3.4285714285714284,3,3.2142857142857144,3,3,3,3,4,3,3,4,4,3,4,4,3.1666666666666665,3.6666666666666665,3.4166666666666665,3,4,3,4,3,4,4,4,4,4,3,3,2,3,3,4,3,2,3.5,3.6666666666666665,2.8333333333333335,3.3333333333333335
INV-023,Hombre,19,Región centro,No,Trabajo Social,4°,4.9,44,Sí,27,Gratuidad,No,Local,No,3,15,No,3,3,4,4,4,3,3,4,2,2,3,3,3,2,3,2,3.5,2.5,3,4,2,3,2,2,2,3,3,2,4,3,3,4,2,2.5714285714285716,3,2.7857142857142856,2,3,2,2,3,3,1,2,1,3,1,3,2.5,1.8333333333333333,2.1666666666666665,3,3,3,2,3,1,2,3,4,2,3,2,3,4,4,3,2,1,2.5,2.6666666666666665,2.8333333333333335,2.6666666666666665
INV-024,Hombre,22,RM,No,Psicología,5°,6.7,53,Sí,21,Otra beca,Sí,Desplazado/a,No,4,25,Sí,2,2,1,3,1,3,2,2,2,2,4,3,3,2,2,1,2,2.375,2.1875,3,2,2,3,2,3,3,4,3,3,4,3,3,3,2.5714285714285716,3.2857142857142856,2.9285714285714284,1,3,1,3,1,1,1,3,3,2,2,3,1.6666666666666667,2.3333333333333335,2,3,3,4,3,4,4,4,3,4,3,3,3,4,4,3,3,4,4,3.5,3.3333333333333335,3.6666666666666665,3.5
INV-025,Mujer,20,Extranjero,Sí,Psicología,2°,5,40,No,0,Otra beca,Sí,Desplazado/a,No,4,24,No,3,3,3,2,2,3,2,2,1,2,2,3,3,2,3,1,2.5,2.125,2.3125,3,2,3,3,4,2,3,3,2,2,3,1,2,3,2.857142857142857,2.2857142857142856,2.5714285714285716,1,1,3,1,1,1,3,3,2,3,2,2,1.3333333333333333,2.5,1.9166666666666667,2,2,3,3,3,3,1,3,4,2,3,2,2,3,3,2,3,4,2.6666666666666665,2.5,2.8333333333333335,2.6666666666666665
INV-026,Mujer,17,Extranjero,No,Enfermería,2°,3.5,36,No,0,Sin beca,Sí,Local,No,2,11,Sí,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,2.25,2.375,2.3125,3,2,4,2,2,3,2,2,3,2,3,2,2,4,2.5714285714285716,2.5714285714285716,2.5714285714285716,2,2,2,2,2,3,2,1,2,2,2,2,2.1666666666666665,1.8333333333333333,2,3,3,1,2,3,3,2,3,3,4,3,3,1,2,2,2,2,2,2.5,3,1.8333333333333333,2.4444444444444446
INV-027,Mujer,23,Región norte,No,Trabajo Social,2°,4.3,37,No,0,Sin beca,No,Local,No,3,NA,No,1,4,3,3,2,3,3,3,3,2,4,1,2,3,3,3,2.75,2.625,2.6875,2,3,2,3,1,3,2,2,2,2,3,2,1,3,2.2857142857142856,2.142857142857143,2.2142857142857144,3,3,3,3,3,3,3,1,2,2,2,3,3,2.1666666666666665,2.5833333333333335,2,1,1,1,1,3,2,2,2,1,2,2,3,4,3,2,3,3,1.5,1.8333333333333333,3,2.111111111111111
INV-028,Hombre,22,RM,No,Psicología,2°,4.5,38,No,0,Sin beca,Sí,Desplazado/a,No,2,14,Sí,1,3,4,2,4,3,4,2,1,1,1,1,2,2,2,2,2.875,1.5,2.1875,4,3,2,2,2,2,3,3,2,3,1,3,3,4,2.5714285714285716,2.7142857142857144,2.642857142857143,2,2,3,2,3,3,3,3,3,4,3,3,2.5,3.1666666666666665,2.8333333333333335,4,2,4,2,4,4,3,4,2,3,2,2,2,4,3,3,4,3,3.3333333333333335,2.6666666666666665,3.1666666666666665,3.0555555555555554
INV-029,Mujer,17,Región sur,No,Enfermería,3°,5.8,46,Sí,18,Sin beca,No,Desplazado/a,Sí,2,12,Sí,2,2,2,2,1,2,2,2,3,2,1,3,3,2,1,1,1.875,2,1.9375,3,2,2,3,3,3,2,3,3,3,3,2,2,2,2.5714285714285716,2.5714285714285716,2.5714285714285716,4,4,4,2,4,2,2,3,3,4,4,3,3.3333333333333335,3.1666666666666665,3.25,3,4,3,3,4,3,3,4,3,3,2,2,1,2,2,2,3,3,3.3333333333333335,2.8333333333333335,2.1666666666666665,2.7777777777777777
INV-030,Hombre,23,Extranjero,No,Educación,1°,5.2,49,No,0,Sin beca,Sí,Local,No,NA,18,Sí,2,1,2,2,1,1,1,4,2,1,2,2,2,3,1,1,1.75,1.75,1.75,2,2,2,2,2,2,2,1,1,2,1,2,2,3,2,1.7142857142857142,1.8571428571428572,3,2,3,3,3,2,3,2,2,3,2,2,2.6666666666666665,2.3333333333333335,2.5,2,4,2,3,4,2,2,2,4,2,2,2,2,3,2,3,2,2,2.8333333333333335,2.3333333333333335,2.3333333333333335,2.5
INV-031,Mujer,21,Región centro,Sí,Otra,5°,5.5,44,No,0,Gratuidad,No,Local,No,3,21,Sí,4,3,4,3,2,4,3,3,4,3,2,3,2,3,3,1,3.25,2.625,2.9375,1,2,2,1,1,2,1,3,2,2,2,2,3,3,1.4285714285714286,2.4285714285714284,1.9285714285714286,1,1,2,1,1,3,2,2,1,1,1,2,1.5,1.5,1.5,2,2,2,1,2,2,3,2,2,2,4,3,2,2,2,3,2,2,1.8333333333333333,2.6666666666666665,2.1666666666666665,2.2222222222222223
INV-032,Mujer,18,RM,No,Trabajo Social,2°,4.3,43,Sí,18,Sin beca,Sí,Desplazado/a,No,1,0,No,1,2,3,2,1,3,2,2,2,3,3,2,4,2,3,2,2,2.625,2.3125,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1.5714285714285714,1,1.2857142857142858,4,3,3,4,4,4,4,4,4,4,4,4,3.6666666666666665,4,3.8333333333333335,2,3,2,2,2,1,3,3,2,2,2,4,2,2,2,1,2,2,2,2.6666666666666665,1.8333333333333333,2.1666666666666665
INV-033,Hombre,17,Región sur,No,Enfermería,5°,6,45,Sí,8,Otra beca,Sí,Desplazado/a,Sí,4,11,Sí,2,2,2,2,2,3,1,2,3,2,2,3,2,2,3,2,2,2.375,2.1875,3,3,4,2,3,3,3,2,2,2,1,4,3,3,3,2.4285714285714284,2.7142857142857144,2,1,3,2,1,1,3,3,1,2,2,1,1.6666666666666667,2,1.8333333333333333,4,4,3,4,3,2,2,3,2,2,2,2,2,3,4,4,4,4,3.3333333333333335,2.1666666666666665,3.5,3
INV-034,Otro,21,RM,Sí,Enfermería,2°,3.7,41,No,0,Beca excelencia,Sí,Local,No,1,3,Sí,2,3,1,1,1,1,1,3,1,2,1,2,2,3,2,3,1.625,2,1.8125,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1.2857142857142858,1.2857142857142858,1.2857142857142858,4,4,4,3,3,2,2,1,3,3,3,3,3.3333333333333335,2.5,2.9166666666666665,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2,1.1666666666666667,1.8333333333333333,1.5,1.5
INV-035,Mujer,21,RM,No,Enfermería,1°,6.3,38,Sí,10,Gratuidad,Sí,Desplazado/a,Sí,5,32,Sí,3,3,4,3,3,3,2,3,2,2,2,3,3,2,4,3,3,2.625,2.8125,3,4,4,4,3,4,4,4,4,3,4,3,4,3,3.7142857142857144,3.5714285714285716,3.642857142857143,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,3.8333333333333335,3.5,3.8333333333333335,3.7222222222222223
INV-036,Hombre,18,RM,Sí,Psicología,5°,4.2,38,No,0,Sin beca,Sí,Local,No,2,31,No,3,2,3,4,4,4,4,1,2,2,2,2,3,1,3,3,3.125,2.25,2.6875,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3.142857142857143,2.857142857142857,3,2,2,2,1,3,2,3,1,2,2,2,2,2,2,2,3,4,3,4,4,4,3,3,1,3,2,3,4,3,4,3,3,4,3.6666666666666665,2.5,3.5,3.2222222222222223
INV-037,Hombre,24,RM,Sí,Trabajo Social,3°,3.2,46,Sí,NA,Otra beca,Sí,Local,No,2,3,No,1,2,2,1,3,1,2,2,3,2,3,2,2,3,3,2,1.75,2.5,2.125,1,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1.8571428571428572,1.9285714285714286,3,3,4,3,3,3,3,2,3,3,2,2,3.1666666666666665,2.5,2.8333333333333335,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,1.8333333333333333,1.8333333333333333,1.5,1.7222222222222223
INV-038,Hombre,21,Región sur,No,Psicología,5°,4.9,45,Sí,27,Gratuidad,Sí,Desplazado/a,Sí,3,15,Sí,3,1,3,3,3,1,1,2,3,2,2,1,2,1,2,2,2.125,1.875,2,2,3,1,3,3,3,2,3,2,2,3,3,3,4,2.4285714285714284,2.857142857142857,2.642857142857143,1,2,3,3,2,2,3,2,2,2,1,2,2.1666666666666665,2,2.0833333333333335,3,3,3,3,2,3,2,2,2,1,2,3,3,2,3,3,2,4,2.8333333333333335,2,2.8333333333333335,2.5555555555555554
INV-039,Hombre,20,RM,Sí,Enfermería,4°,3.3,41,No,0,Gratuidad,Sí,Local,No,2,26,No,2,2,2,1,3,2,1,1,2,3,3,2,2,3,2,2,1.75,2.375,2.0625,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2.2857142857142856,2.142857142857143,2.2142857142857144,3,1,2,3,2,4,2,2,3,2,2,2,2.5,2.1666666666666665,2.3333333333333335,3,2,2,3,2,2,2,2,3,2,2,3,3,3,2,2,2,4,2.3333333333333335,2.3333333333333335,2.6666666666666665,2.4444444444444446
INV-040,Hombre,22,RM,No,Trabajo Social,2°,4.9,36,No,0,Sin beca,Sí,Desplazado/a,Sí,4,33,Sí,3,3,2,2,2,3,2,2,2,1,1,2,1,1,3,2,2.375,1.625,2,4,2,4,4,4,2,3,3,3,2,4,3,1,2,3.2857142857142856,2.5714285714285716,2.9285714285714284,1,1,1,2,2,2,1,1,2,1,1,2,1.5,1.3333333333333333,1.4166666666666667,3,3,2,2,3,2,2,3,2,1,2,3,3,3,3,3,3,3,2.5,2.1666666666666665,3,2.5555555555555554
INV-041,Hombre,24,Región sur,Sí,Educación,2°,4.6,40,No,0,Gratuidad,No,Local,No,1,9,Sí,4,2,3,3,4,1,2,1,1,3,2,2,2,2,2,2,2.5,2,2.25,2,1,3,2,3,1,2,2,2,2,2,2,2,3,2,2.142857142857143,2.0714285714285716,2,2,2,2,2,1,2,2,3,2,2,2,1.8333333333333333,2.1666666666666665,2,3,2,2,2,2,2,1,2,4,3,3,3,3,2,3,3,1,2,2.1666666666666665,2.6666666666666665,2.3333333333333335,2.388888888888889
INV-042,Hombre,20,Extranjero,Sí,Enfermería,2°,6.9,44,No,NA,Gratuidad,No,Local,No,5,31,No,2,2,3,4,4,4,3,2,2,2,2,2,1,1,1,3,3,1.75,2.375,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,1,1,1,1,1,1,2,1,3,1,2,2,1,1.8333333333333333,1.4166666666666667,4,4,3,4,4,4,3,4,3,4,4,2,3,3,3,3,3,3,3.8333333333333335,3.3333333333333335,3,3.388888888888889
INV-043,Mujer,19,RM,No,Enfermería,1°,5.9,48,No,0,Beca excelencia,Sí,Local,No,4,23,Sí,2,2,2,3,3,2,3,3,2,4,3,2,2,2,1,3,2.5,2.375,2.4375,2,3,2,4,3,2,3,3,3,3,3,2,2,2,2.7142857142857144,2.5714285714285716,2.642857142857143,2,3,2,1,1,2,2,1,2,1,1,1,1.8333333333333333,1.3333333333333333,1.5833333333333333,3,4,4,3,4,3,4,3,2,3,2,4,3,4,4,3,3,2,3.5,3,3.1666666666666665,3.2222222222222223
INV-044,Mujer,22,RM,No,Educación,4°,4.7,39,No,0,Sin beca,Sí,Local,No,4,19,No,1,2,2,2,1,2,1,3,1,1,3,2,2,2,2,2,1.75,1.875,1.8125,3,3,3,3,3,3,2,2,3,4,4,4,3,3,2.857142857142857,3.2857142857142856,3.0714285714285716,3,3,3,3,3,2,3,2,3,3,4,3,2.8333333333333335,3,2.9166666666666665,4,4,3,4,4,3,3,3,3,3,2,3,3,3,2,2,4,4,3.6666666666666665,2.8333333333333335,3,3.1666666666666665
INV-045,Mujer,21,Región norte,No,Trabajo Social,3°,4.9,51,No,0,Gratuidad,Sí,Local,No,2,18,No,2,2,4,3,2,2,2,2,2,2,2,1,3,2,2,4,2.375,2.25,2.3125,2,2,1,2,2,2,2,2,2,2,2,2,1,3,1.8571428571428572,2,1.9285714285714286,2,3,3,4,3,2,3,4,2,3,4,3,2.8333333333333335,3.1666666666666665,3,3,4,2,3,4,3,3,3,3,2,2,2,2,3,2,2,3,3,3.1666666666666665,2.5,2.5,2.7222222222222223
INV-046,Hombre,26,Región centro,Sí,Otra,5°,5,41,Sí,11,Gratuidad,No,Local,No,3,8,Sí,4,4,4,4,4,3,4,3,4,4,3,3,4,2,4,4,3.75,3.5,3.625,2,2,2,3,3,2,4,2,2,3,3,3,3,2,2.5714285714285716,2.5714285714285716,2.5714285714285716,3,3,2,3,3,2,3,3,4,2,2,2,2.6666666666666665,2.6666666666666665,2.6666666666666665,2,4,2,3,3,2,2,3,2,3,3,2,2,1,2,2,3,3,2.6666666666666665,2.5,2.1666666666666665,2.4444444444444446
INV-047,Mujer,23,RM,No,Educación,4°,6.2,42,Sí,37,Gratuidad,Sí,Local,No,5,35,No,4,3,3,2,4,3,3,1,2,2,3,2,2,3,2,1,2.875,2.125,2.5,3,2,4,3,3,4,3,3,2,3,3,3,2,3,3.142857142857143,2.7142857142857144,2.9285714285714284,1,1,1,2,2,4,1,1,1,1,1,2,1.8333333333333333,1.1666666666666667,1.5,3,4,2,4,2,2,2,3,4,2,2,2,3,2,4,2,3,3,2.8333333333333335,2.5,2.8333333333333335,2.7222222222222223
