id,sexo,edad,nivel_educacional,estado_civil,n_hijos,region,tipo_organizacion,anos_residencia,tipo_zona,nivel_ses,acceso_servicios_basicos,victima_delito_anio,confianza_carabineros,confianza_municipio,anos_en_organizacion,cargo_directivo,actividad_laboral,migrante,acceso_areas_verdes,esc_i01,esc_i02,esc_i03,esc_i04,esc_i05,esc_i06,esc_i07,esc_i08,esc_i09,esc_i10,esc_i11,esc_i12,esc_i13,esc_i14,esc_i15,esc_i16,esc_pertenencia,esc_influencia,esc_total,ecs_i01,ecs_i02,ecs_i03,ecs_i04,ecs_i05,ecs_i06,ecs_i07,ecs_i08,ecs_i09,ecs_i10,ecs_i11,ecs_i12,ecs_i13,ecs_i14,ecs_i15,ecs_i16,ecs_i17,ecs_i18,ecs_redes_apoyo,ecs_confianza,ecs_normas_reciprocidad,ecs_total,ebc_i01,ebc_i02,ebc_i03,ebc_i04,ebc_i05,ebc_i06,ebc_i07,ebc_i08,ebc_i09,ebc_i10,ebc_i11,ebc_i12,ebc_i13,ebc_i14,ebc_satisfaccion_barrio,ebc_cohesion,ebc_total,cps_i01,cps_i02,cps_i03,cps_i04,cps_i05,cps_i06,cps_i07,cps_i08,cps_i09,cps_i10,cps_i11,cps_i12,cps_formal,cps_informal,cps_total
SC-011,Mujer,27,Técnico,Casado/a,2,Maule,Junta vecinos,6,Rural,Bajo,Sí,No,4,4,2,No,Empleado/a,No,No,3,4,4,3,4,4,4,3,3,3,3,3,3,4,3,2,3.625,3,3.3125,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,4,3.6666666666666665,4,3.1666666666666665,3.611111111111111,2,2,2,2,3,3,1,3,2,2,2,1,2,2,2.142857142857143,2,2.0714285714285716,1,2,2,2,1,3,2,3,3,2,2,2,1.8333333333333333,2.3333333333333335,2.0833333333333335
SC-012,Hombre,64,Técnico,Casado/a,2,Valparaíso,Junta vecinos,1,Urbano,Bajo,Sí,Sí,2,1,2,No,Empleado/a,No,Sí,4,4,3,3,3,3,3,1,2,4,3,3,4,2,4,3,3,3.125,3.0625,4,4,4,3,3,4,3,3,4,4,4,3,4,3,2,3,3,3,3.6666666666666665,3.5,3,3.388888888888889,2,3,3,3,3,4,3,4,4,3,4,4,4,3,3,3.7142857142857144,3.357142857142857,2,4,3,1,2,2,4,2,3,2,4,3,2.3333333333333335,3,2.6666666666666665
SC-013,Mujer,64,Media,Casado/a,2,RM,Club deportivo,9,Semi-rural,Bajo,Sí,No,4,2,9,Sí,Empleado/a,No,Sí,3,4,4,3,4,2,2,2,3,3,4,2,3,3,3,2,3,2.875,2.9375,3,3,4,4,2,4,3,4,3,2,2,3,3,4,4,3,3,4,3.3333333333333335,2.8333333333333335,3.5,3.2222222222222223,4,4,3,4,4,4,4,2,2,3,2,2,3,1,3.857142857142857,2.142857142857143,3,4,4,4,3,3,3,3,3,3,2,3,3,3.5,2.8333333333333335,3.1666666666666665
SC-014,Hombre,46,Media,Casado/a,5,RM,Org. social,9,Semi-rural,Bajo,Sí,Sí,5,4,5,No,Desempleado/a,No,Sí,2,4,3,2,4,3,4,3,3,3,3,3,2,3,2,4,3.125,2.875,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3.6666666666666665,4,3.888888888888889,3,3,3,4,4,4,2,4,3,3,4,4,4,2,3.2857142857142856,3.4285714285714284,3.357142857142857,4,2,3,4,3,3,3,4,2,3,3,2,3.1666666666666665,2.8333333333333335,3
SC-015,Mujer,50,Básica,Soltero/a,3,Maule,Org. social,5,Urbano,Medio,Sí,No,2,5,10,No,Empleado/a,No,No,2,2,3,4,3,4,2,2,3,3,2,2,3,3,2,3,2.75,2.625,2.6875,3,3,4,4,4,4,3,4,4,4,4,2,4,2,2,2,3,4,3.6666666666666665,3.5,2.8333333333333335,3.3333333333333335,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2.142857142857143,2.5714285714285716,2.357142857142857,2,3,3,2,3,2,3,3,1,2,3,3,2.5,2.5,2.5
SC-016,Mujer,46,Postgrado,Conviviente,4,RM,Junta vecinos,21,Urbano,Bajo,Sí,No,3,3,3,No,Empleado/a,No,No,2,2,2,3,2,2,2,2,2,1,2,3,2,3,3,2,2.125,2.25,2.1875,3,2,2,1,1,2,4,3,3,4,3,2,2,2,2,2,3,2,1.8333333333333333,3.1666666666666665,2.1666666666666665,2.388888888888889,2,4,2,2,3,3,3,3,3,3,3,2,3,3,2.7142857142857144,2.857142857142857,2.7857142857142856,2,3,2,3,2,3,2,3,3,2,3,2,2.5,2.5,2.5
SC-017,Mujer,46,Media,Viudo/a,2,RM,Junta vecinos,8,Urbano,Bajo,No,No,4,2,5,No,Empleado/a,No,Sí,3,2,2,3,2,3,3,3,2,2,2,2,1,1,3,2,2.625,1.875,2.25,3,2,2,2,2,3,2,2,2,3,2,4,4,2,2,2,3,3,2.3333333333333335,2.5,2.6666666666666665,2.5,3,2,2,2,2,3,2,3,2,3,2,3,3,2,2.2857142857142856,2.5714285714285716,2.4285714285714284,3,4,2,2,4,3,2,2,2,2,2,2,3,2,2.5
SC-018,Hombre,28,Básica,Casado/a,6,RM,Cooperativa,1,Urbano,Medio,No,No,5,4,11,Sí,Desempleado/a,No,No,3,3,4,3,3,3,3,3,4,3,2,4,3,3,4,4,3.125,3.375,3.25,4,3,3,4,4,4,2,3,3,4,4,3,3,3,3,3,4,4,3.6666666666666665,3.1666666666666665,3.3333333333333335,3.388888888888889,3,3,2,3,3,3,2,4,3,4,3,3,3,3,2.7142857142857144,3.2857142857142856,3,3,3,4,3,4,2,2,3,3,3,2,3,3.1666666666666665,2.6666666666666665,2.9166666666666665
SC-019,Mujer,24,Técnico,Casado/a,0,RM,Cooperativa,11,Urbano,Bajo,Sí,Sí,1,2,3,No,Labores hogar,No,No,3,2,4,3,3,2,2,3,3,2,3,3,3,4,3,2,2.75,2.875,2.8125,1,1,2,3,2,2,2,2,1,2,1,1,2,3,2,2,2,2,1.8333333333333333,1.5,2.1666666666666665,1.8333333333333333,3,3,2,4,2,3,3,2,2,1,3,2,2,1,2.857142857142857,1.8571428571428572,2.357142857142857,2,3,2,3,2,2,4,2,3,3,1,2,2.3333333333333335,2.5,2.4166666666666665
SC-020,Mujer,66,Media,Viudo/a,1,O'Higgins,Org. social,9,Semi-rural,Bajo,No,Sí,4,3,1,No,Independiente,No,Sí,2,3,3,3,3,3,3,3,4,4,3,4,3,4,3,2,2.875,3.375,3.125,4,3,3,3,2,3,4,3,4,3,3,2,4,3,4,4,3,4,3,3.1666666666666665,3.6666666666666665,3.2777777777777777,3,4,3,3,4,3,3,3,3,3,2,2,3,2,3.2857142857142856,2.5714285714285716,2.9285714285714284,3,3,2,3,3,1,4,3,3,2,3,4,2.5,3.1666666666666665,2.8333333333333335
SC-021,Hombre,57,Técnico,Casado/a,5,RM,Org. social,6,Urbano,Medio,Sí,Sí,2,5,17,No,Independiente,No,Sí,2,2,2,2,2,3,2,1,2,3,2,3,2,3,2,3,2,2.5,2.25,3,2,2,3,3,3,4,4,4,2,4,4,2,3,2,2,2,2,2.6666666666666665,3.6666666666666665,2.1666666666666665,2.8333333333333335,4,2,3,3,2,2,2,4,2,2,2,4,2,3,2.5714285714285716,2.7142857142857144,2.642857142857143,3,3,4,3,3,1,3,3,3,2,3,4,2.8333333333333335,3,2.9166666666666665
SC-022,Mujer,18,Media,Conviviente,1,Maule,Org. social,21,Urbano,Bajo,No,No,2,2,4,No,Labores hogar,No,Sí,3,3,3,3,4,3,4,3,2,3,3,3,3,2,2,3,3.25,2.625,2.9375,4,3,3,4,4,4,3,3,4,3,4,2,3,3,3,3,3,3,3.6666666666666665,3.1666666666666665,3,3.2777777777777777,2,3,4,2,2,3,3,3,3,2,3,3,2,2,2.7142857142857144,2.5714285714285716,2.642857142857143,3,3,2,2,3,3,2,3,4,3,3,3,2.6666666666666665,3,2.8333333333333335
SC-023,Hombre,54,Postgrado,Casado/a,0,O'Higgins,Club deportivo,3,Urbano,Medio,Sí,No,4,5,5,No,Labores hogar,No,No,2,3,3,4,2,3,3,3,3,3,2,3,3,3,3,3,2.875,2.875,2.875,2,1,2,2,4,3,4,3,4,2,2,2,1,1,3,2,3,2,2.3333333333333335,2.8333333333333335,2,2.388888888888889,3,2,2,2,3,1,2,2,2,1,2,2,4,3,2.142857142857143,2.2857142857142856,2.2142857142857144,2,2,2,3,1,3,1,2,1,1,1,2,2.1666666666666665,1.3333333333333333,1.75
SC-024,Hombre,59,Universitario,Conviviente,0,RM,Junta vecinos,1,Semi-rural,Bajo,No,No,5,4,7,No,Empleado/a,No,Sí,3,4,3,2,3,3,2,2,4,4,3,4,3,4,4,3,2.75,3.625,3.1875,3,4,3,4,4,4,3,4,4,2,4,3,4,4,4,4,4,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,2,2,3,3,4,4,3,3,4,3,3,4,3,2,3,3.142857142857143,3.0714285714285716,3,4,3,4,4,2,3,2,4,3,1,3,3.3333333333333335,2.6666666666666665,3
SC-025,Mujer,36,Media,Casado/a,3,RM,Club deportivo,7,Rural,Alto,No,No,2,1,10,No,Independiente,No,Sí,2,2,3,3,3,2,1,4,4,1,3,2,3,2,3,2,2.5,2.5,2.5,2,3,2,3,2,2,3,2,4,3,3,2,3,3,2,2,2,2,2.3333333333333335,2.8333333333333335,2.3333333333333335,2.5,2,4,3,4,3,2,3,3,2,3,3,2,3,3,3,2.7142857142857144,2.857142857142857,3,3,3,3,4,4,2,2,3,2,2,2,3.3333333333333335,2.1666666666666665,2.75
SC-026,Mujer,38,Universitario,Separado/a,3,Valparaíso,Voluntariado,5,Semi-rural,Medio,No,No,4,4,5,Sí,Independiente,No,Sí,3,4,3,3,3,3,3,3,2,3,4,2,3,3,3,2,3.125,2.75,2.9375,3,3,1,4,4,3,3,4,3,3,2,4,4,3,3,3,3,3,3,3.1666666666666665,3.1666666666666665,3.111111111111111,3,3,4,3,4,4,4,2,3,3,2,3,2,1,3.5714285714285716,2.2857142857142856,2.9285714285714284,2,3,3,3,2,2,2,3,2,3,2,3,2.5,2.5,2.5
SC-027,Hombre,29,Técnico,Casado/a,2,RM,Org. social,3,Urbano,Medio,Sí,Sí,3,2,1,Sí,Labores hogar,No,No,3,3,2,3,2,2,3,2,3,3,3,3,2,4,3,2,2.5,2.875,2.6875,3,2,2,2,2,2,3,2,3,3,3,2,3,2,2,3,2,3,2.1666666666666665,2.6666666666666665,2.5,2.4444444444444446,3,2,3,2,2,3,2,3,2,3,3,2,3,1,2.4285714285714284,2.4285714285714284,2.4285714285714284,1,2,2,1,1,1,4,2,2,2,1,2,1.3333333333333333,2.1666666666666665,1.75
SC-028,Mujer,36,Media,Separado/a,4,RM,Junta vecinos,30,Rural,Medio,Sí,No,2,2,14,No,Jubilado/a,No,Sí,2,3,2,3,3,3,2,2,3,2,4,3,4,3,3,2,2.5,3,2.75,1,3,3,2,2,3,2,2,2,2,2,3,3,3,3,3,2,3,2.3333333333333335,2.1666666666666665,2.8333333333333335,2.4444444444444446,1,2,2,1,2,2,2,3,2,2,3,3,2,3,1.7142857142857142,2.5714285714285716,2.142857142857143,2,1,2,1,2,1,1,1,1,1,1,1,1.5,1,1.25
SC-029,Hombre,53,Técnico,Separado/a,3,RM,Org. social,20,Rural,Bajo,No,No,5,3,5,No,Jubilado/a,No,Sí,3,3,4,3,3,3,4,4,4,3,3,2,4,3,3,4,3.375,3.25,3.3125,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3.5,3.8333333333333335,4,3.7777777777777777,3,4,4,3,4,4,4,3,3,3,4,3,4,2,3.7142857142857144,3.142857142857143,3.4285714285714284,3,2,1,2,2,4,1,3,2,2,3,1,2.3333333333333335,2,2.1666666666666665
SC-030,Mujer,64,Universitario,Casado/a,4,Otra,Club deportivo,15,Urbano,Medio,Sí,No,5,5,5,No,Independiente,No,Sí,3,4,3,4,4,2,3,2,4,3,3,4,3,3,4,3,3.125,3.375,3.25,3,2,3,3,3,2,4,3,3,3,3,4,3,4,4,4,4,3,2.6666666666666665,3.3333333333333335,3.6666666666666665,3.2222222222222223,3,4,2,3,4,3,3,2,3,2,2,3,2,2,3.142857142857143,2.2857142857142856,2.7142857142857144,2,4,3,3,4,4,2,2,2,1,2,2,3.3333333333333335,1.8333333333333333,2.5833333333333335
SC-031,Mujer,18,Universitario,Soltero/a,4,RM,Club deportivo,25,Semi-rural,Bajo,No,No,5,5,5,No,Empleado/a,No,Sí,4,3,4,4,4,3,4,4,3,3,3,4,3,3,3,4,3.75,3.25,3.5,3,4,2,2,4,3,3,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,3,4,3,3,3,3,4,2.857142857142857,3.2857142857142856,3.0714285714285716,2,3,3,2,2,2,4,2,3,3,3,3,2.3333333333333335,3,2.6666666666666665
SC-032,Mujer,18,Técnico,Soltero/a,3,RM,Cooperativa,19,Rural,Medio,No,No,2,3,2,No,Empleado/a,No,Sí,3,2,3,1,3,3,1,3,3,2,3,3,4,2,3,2,2.375,2.75,2.5625,4,3,3,3,3,3,4,3,3,4,4,4,4,2,4,4,3,2,3.1666666666666665,3.6666666666666665,3.1666666666666665,3.3333333333333335,4,3,3,4,3,4,4,3,3,3,3,3,3,4,3.5714285714285716,3.142857142857143,3.357142857142857,3,4,4,2,3,2,2,3,4,3,3,2,3,2.8333333333333335,2.9166666666666665
SC-033,Mujer,80,Media,Conviviente,1,RM,Junta vecinos,1,Semi-rural,Bajo,Sí,No,5,3,4,No,Independiente,No,Sí,2,3,2,2,4,3,2,2,4,3,3,3,2,3,3,3,2.5,3,2.75,4,3,4,4,4,4,4,4,4,3,4,2,4,2,4,3,4,3,3.8333333333333335,3.5,3.3333333333333335,3.5555555555555554,3,1,2,2,3,3,2,2,2,2,2,4,2,3,2.2857142857142856,2.4285714285714284,2.357142857142857,1,2,1,1,3,1,1,2,1,1,1,1,1.5,1.1666666666666667,1.3333333333333333
SC-034,Mujer,68,Técnico,Soltero/a,1,RM,Junta vecinos,4,Urbano,Bajo,No,No,NA,3,31,No,Labores hogar,No,Sí,3,3,2,2,3,3,2,3,3,3,2,2,2,4,2,4,2.625,2.75,2.6875,3,2,2,2,3,3,3,3,4,3,4,4,3,3,3,2,4,3,2.5,3.5,3,3,3,4,3,4,2,4,3,4,3,4,3,3,4,1,3.2857142857142856,3.142857142857143,3.2142857142857144,3,3,3,2,2,2,3,2,3,2,4,3,2.5,2.8333333333333335,2.6666666666666665
SC-035,Hombre,44,Postgrado,Viudo/a,0,Otra,Junta vecinos,50,Semi-rural,Bajo,Sí,No,4,5,8,No,Desempleado/a,No,No,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,2,3.875,3.375,3.625,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,3,3.8333333333333335,3.6666666666666665,3.8333333333333335,3.7777777777777777,3,3,3,4,4,3,2,2,4,4,3,3,4,3,3.142857142857143,3.2857142857142856,3.2142857142857144,4,3,4,4,4,3,3,4,4,4,4,3,3.6666666666666665,3.6666666666666665,3.6666666666666665
SC-036,Mujer,47,Media,Casado/a,1,RM,Org. social,7,Urbano,Bajo,No,No,3,2,11,Sí,Empleado/a,No,Sí,3,4,3,2,2,2,2,3,3,2,2,1,3,2,3,2,2.625,2.25,2.4375,2,2,3,1,1,2,2,3,3,3,1,2,2,1,1,1,1,1,1.8333333333333333,2.3333333333333335,1.1666666666666667,1.7777777777777777,2,2,2,2,3,2,1,2,2,3,1,3,3,3,2,2.4285714285714284,2.2142857142857144,1,1,1,2,3,2,2,2,1,2,3,2,1.6666666666666667,2,1.8333333333333333
SC-037,Otro,37,Media,Viudo/a,4,O'Higgins,Cooperativa,12,Urbano,Medio,Sí,No,3,4,9,No,Desempleado/a,No,No,3,3,4,4,3,4,4,2,3,4,4,4,4,4,4,2,3.375,3.625,3.5,4,4,3,4,4,3,3,4,3,4,3,3,3,4,2,2,3,2,3.6666666666666665,3.3333333333333335,2.6666666666666665,3.2222222222222223,3,4,3,3,4,3,3,2,4,4,3,3,3,4,3.2857142857142856,3.2857142857142856,3.2857142857142856,4,3,3,4,3,3,4,3,3,4,3,3,3.3333333333333335,3.3333333333333335,3.3333333333333335
SC-038,Hombre,43,Media,Separado/a,3,RM,Org. social,36,Urbano,Bajo,No,Sí,5,5,13,Sí,Jubilado/a,No,No,3,3,4,3,2,4,2,3,3,4,4,3,4,4,2,3,3,3.375,3.1875,3,2,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,3,3.5,3.8333333333333335,2.5,3.2777777777777777,4,4,3,4,4,3,2,3,2,3,3,3,4,2,3.4285714285714284,2.857142857142857,3.142857142857143,3,3,3,3,4,4,4,4,3,4,2,3,3.3333333333333335,3.3333333333333335,3.3333333333333335
SC-039,Mujer,47,Técnico,Soltero/a,3,RM,Org. social,50,Urbano,Medio,Sí,Sí,2,2,4,No,Independiente,No,No,4,3,3,3,4,4,2,4,3,4,4,4,4,3,4,3,3.375,3.625,3.5,3,3,2,2,3,2,3,4,3,2,3,4,2,2,3,3,3,2,2.5,3.1666666666666665,2.5,2.7222222222222223,4,2,3,2,3,3,3,2,3,2,2,4,4,4,2.857142857142857,3,2.9285714285714284,4,2,2,2,3,3,2,3,3,1,2,2,2.6666666666666665,2.1666666666666665,2.4166666666666665
SC-040,Hombre,47,Técnico,Separado/a,0,O'Higgins,Voluntariado,35,Urbano,Medio,No,No,5,3,8,No,Empleado/a,No,No,2,2,2,3,2,2,3,2,3,2,3,3,4,3,4,3,2.25,3.125,2.6875,3,4,4,3,2,4,1,3,3,3,3,2,3,3,4,3,4,3,3.3333333333333335,2.5,3.3333333333333335,3.0555555555555554,4,4,2,4,4,4,4,3,2,3,4,4,2,4,3.7142857142857144,3.142857142857143,3.4285714285714284,4,4,3,4,4,3,4,4,3,3,3,4,3.6666666666666665,3.5,3.5833333333333335
SC-041,Hombre,54,Media,Soltero/a,3,RM,Junta vecinos,1,Urbano,Bajo,Sí,No,4,3,19,No,Empleado/a,No,Sí,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3.5,4,3.75,4,3,4,4,4,3,4,3,4,3,4,2,4,4,4,4,4,4,3.6666666666666665,3.3333333333333335,4,3.6666666666666665,4,3,3,4,4,3,3,4,3,4,4,4,3,4,3.4285714285714284,3.7142857142857144,3.5714285714285716,2,2,3,3,2,2,3,2,4,3,2,4,2.3333333333333335,3,2.6666666666666665
SC-042,Hombre,49,Media,Casado/a,3,RM,Cooperativa,10,Rural,Medio,Sí,No,4,5,40,No,Independiente,No,No,3,2,3,2,3,3,2,3,4,3,4,3,4,3,4,4,2.625,3.625,3.125,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3.8333333333333335,3.8333333333333335,4,3.888888888888889,3,3,3,2,4,4,3,4,4,3,4,3,4,3,3.142857142857143,3.5714285714285716,3.357142857142857,1,2,4,4,3,3,3,3,3,3,3,3,2.8333333333333335,3,2.9166666666666665
SC-043,Mujer,39,Media,Soltero/a,3,RM,Org. social,24,Urbano,Medio,Sí,Sí,3,2,4,No,Empleado/a,No,Sí,3,3,3,2,3,2,1,3,3,2,3,3,3,3,2,3,2.5,2.75,2.625,3,1,2,2,2,3,2,3,3,4,3,3,4,3,3,4,4,4,2.1666666666666665,3,3.6666666666666665,2.9444444444444446,3,2,3,3,3,2,3,1,1,2,1,2,3,3,2.7142857142857144,1.8571428571428572,2.2857142857142856,2,1,1,2,1,2,2,1,1,1,2,1,1.5,1.3333333333333333,1.4166666666666667
SC-044,Mujer,63,Media,Separado/a,2,Valparaíso,Junta vecinos,2,Urbano,Bajo,Sí,No,3,4,23,No,Desempleado/a,No,Sí,3,4,4,4,4,3,2,2,3,3,2,4,2,3,3,4,3.25,3,3.125,2,2,3,2,3,3,3,2,2,3,2,3,2,2,2,3,2,2,2.5,2.5,2.1666666666666665,2.388888888888889,3,3,2,4,4,4,3,2,2,2,2,2,1,2,3.2857142857142856,1.8571428571428572,2.5714285714285716,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2
SC-045,Mujer,19,Básica,Casado/a,3,Valparaíso,Org. social,14,Urbano,Bajo,Sí,No,2,1,7,No,Empleado/a,No,Sí,3,2,3,2,3,3,2,1,4,3,2,3,2,4,3,3,2.375,3,2.6875,2,1,3,3,3,2,2,2,2,3,2,2,1,3,1,2,3,2,2.3333333333333335,2.1666666666666665,2,2.1666666666666665,3,3,2,4,3,2,2,2,2,2,2,2,2,2,2.7142857142857144,2,2.357142857142857,2,4,4,3,4,2,3,3,4,4,4,4,3.1666666666666665,3.6666666666666665,3.4166666666666665
